#The local date and time: 	Fri May 14 14:22:23 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
51	25	10	12737	22	14487	4140	21	11	0	0	0	11	11	5	2181360640
91	25	27	123	69	167	6480	41	20	0	0	0	8	8	5	301553872
69	19	11	13016	24	16068	15441	29	14	0	0	0	13	13	3	3469615728
69	22	40	100	38	114	4648	40	17	0	0	0	10	10	5	874161408
135	25	22	116	39	142	5342	54	20	0	0	0	10	10	5	1386790022
97	27	29	163	42	159	5552	44	21	0	0	0	8	8	5	572610092
131	29	29	120	41	162	5983	49	23	0	0	0	9	9	5	165520127
114	27	22	116	39	191	5423	46	19	0	0	0	9	9	5	4053397458
100	24	25	12989	38	15160	3767	41	19	0	0	0	12	12	5	3123196880
35	14	30	191	23	217	2149	24	11	0	0	0	8	8	5	401761266
48	20	24	171	34	227	3314	33	16	0	0	0	10	10	5	1951449152
35	15	23	14631	28	14636	2508	30	18	0	0	0	12	12	5	2095845959
34	14	41	13328	29	14640	2104	31	16	0	0	0	11	11	5	2759346688
96	21	28	102	66	116	5619	38	16	0	0	0	8	8	5	4289520264
136	60	83	137	59	212	6208	48	19	0	0	0	9	9	5	1850238896
53	17	37	80	25	93	16214	32	14	0	0	0	9	9	3	2753423360
111	26	40	142	55	220	11402	70	21	0	0	0	13	13	5	2455948176
142	27	28	133	57	183	7223	50	20	0	0	0	8	8	5	993479216
146	34	31	167	72	183	5353	48	22	0	0	0	9	9	5	250993936
81	25	28	121	39	132	6186	46	20	0	0	0	26	26	5	4040500864
114	29	29	213	58	143	5971	51	22	0	0	0	9	9	5	756454304
120	28	29	121	78	163	9999	52	29	0	0	0	8	8	5	3535040496
161	29	28	133	63	181	6125	62	22	0	0	0	9	9	5	536334032
59	32	77	155	36	182	3824	37	12	0	0	0	7	7	5	3345331200
56	24	46	13157	39	15014	17970	85	41	0	0	0	17	17	5	1839631872
56	23	33	175	42	232	9373	44	20	0	0	0	8	8	5	2061762560
110	29	29	133	44	202	6546	49	22	0	0	0	8	8	5	290880592
79	27	28	122	42	165	6279	48	21	0	0	0	9	9	5	1310138992
37	14	20	13123	23	15430	1364	20	11	0	0	0	12	12	4	2266158336
50	17	35	12943	64	14599	1731	26	14	0	0	0	10	10	5	2882484224
50	22	15	89	32	67	3394	32	14	0	0	0	9	9	5	1820904448
84	22	31	14381	35	14664	3685	44	20	0	0	0	13	13	5	2555239424
59	19	48	170	45	235	11773	43	15	0	0	0	8	8	5	1271670784
103	25	68	203	39	181	14335	51	22	0	0	0	11	11	5	4060938752
69	24	54	141	75	203	13007	59	19	0	0	0	8	8	5	1049540096
93	43	26	151	46	165	7049	48	22	0	0	0	7	7	5	2007092736
125	29	28	153	78	145	6608	50	21	0	0	0	8	8	5	2306938736
149	35	29	122	39	134	14060	48	21	0	0	0	24	24	5	2721152800
76	23	27	13203	35	14861	4968	35	18	0	0	0	9	9	5	258823704
118	25	40	152	42	156	7440	50	20	0	0	0	8	8	5	299356704
28	12	36	95	22	80	1398	20	11	0	0	0	8	8	5	1659489408
11	7	35	89	15	137	590	9	6	0	0	0	9	9	4	1033704632
121	28	28	120	57	183	15222	51	21	0	0	0	8	8	5	739104320
152	28	28	121	44	164	6132	58	25	0	0	0	11	11	5	1513000144
63	20	15	25447	27	29778	8520	34	14	0	0	0	11	11	5	3031757456
29	12	23	12738	21	14558	1271	20	12	0	0	0	9	9	5	438425984
42	20	34	13371	30	14545	16688	33	16	0	0	0	10	10	4	2116820672
139	28	19	16873	50	15405	14966	56	23	0	0	0	13	13	5	650493280
617	19	33	120	33	155	3851	37	17	0	0	0	9	9	5	982745280
73	19	43	168	33	258	5120	38	14	0	0	0	7	7	5	1431110816
97	38	33	159	42	165	6843	45	20	0	0	0	8	8	5	1206928048
25	12	22	13142	18	14492	3511	19	11	0	0	0	9	9	5	1680734720
