#The local date and time: 	Fri May 14 16:12:40 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
75	23	36	13588	38	15484	4306	47	20	411178	532630	483134	10	10	5	2017656128
52	19	20	13857	28	15885	3924	33	20	322429	435206	388210	10	10	5	3406765168
35	14	31	112	22	137	2518	26	10	245623	345189	289737	11	11	3	3832425392
37	13	16	13974	23	16496	4293	24	10	246162	280116	291048	10	10	3	545873664
85	27	20	83	54	84	6129	46	21	333064	374463	398666	10	10	5	762587712
95	29	20	13906	44	16057	6742	57	25	411569	467858	490239	11	11	5	220604112
24	10	26	100	17	115	600	14	8	163008	186532	193784	10	10	2	2608833872
24	10	27	90	17	116	639	14	8	164860	187741	192195	10	10	2	674150832
26	10	26	90	17	117	611	14	7	161647	185441	193321	10	10	2	3143934096
42	15	33	114	22	139	3868	26	12	246268	406978	297944	10	10	4	727585648
13	4	9	43	7	56	185	4	2	79070	92605	94761	9	9	1	4052984736
33	14	30	108	21	133	2471	26	11	248367	341576	289993	7	7	3	3742947872
68	23	16	75	32	73	8301	37	19	327589	377153	395896	10	10	5	2948134064
80	26	27	13556	42	15561	5640	52	23	407289	468515	480825	9	9	5	1904173072
15	10	13	13388	17	16007	1815	15	10	163581	253072	190832	10	10	2	80317056
39	13	19	78	20	77	13456	23	9	163817	186389	195586	10	10	2	903018944
104	28	33	127	43	139	6930	53	22	414978	537640	490815	9	9	5	2224259328
83	24	27	107	40	135	5286	43	20	330653	445895	391310	10	10	5	2600969728
111	28	29	126	43	152	6931	60	24	407494	529886	496891	11	11	5	3129752576
110	28	30	126	46	138	6853	50	21	412603	542380	485036	10	10	5	4187318272
