FTP_Control,134.122.80.82,138.68.65.189,2001,57678,6,1624711418.697,1624711418.703,278,304,55534552,USER,16,32323020,220.,28
FTP_Data,138.68.65.189,138.68.65.189,6005,48430,6,1624711418.712,1624711418.713,0,44424,00000000,....,0,89504e47,.PNG,16384
SSH,138.197.177.67,138.68.65.189,7007,38672,6,1624711418.739,1624711419.547,92345,3769,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.197.177.67,138.68.65.189,7008,59960,6,1624711419.556,1624711420.493,372253,4305,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Control,134.122.80.82,138.68.65.189,2008,51494,6,1624711420.496,1624711420.504,82,304,55534552,USER,16,32323020,220.,28
SSL/TLS,138.197.177.67,138.68.65.189,4012,44206,6,1624711420.513,1624711420.532,636,833598,16030101,....,371,16030300,....,1419
Unknown_TCP,138.68.65.189,138.68.65.189,6007,37286,6,1624711420.539,1624711420.540,0,88566,00000000,....,0,69642c61,id,a,16384
FTP_Control,134.122.80.82,138.68.65.189,2012,57028,6,1624711420.554,1624711420.569,114,306,55534552,USER,16,32323020,220.,28
SSH,138.68.92.16,138.68.65.189,3008,38374,6,1624711420.584,1624711421.287,3285,423753,5353482d,SSH-,41,5353482d,SSH-,41
HTTP_NonStandard,138.68.92.16,138.68.65.189,8006,40978,6,1624711421.292,1624711421.298,378571,164,48545450,HTTP,203,47455420,GET.,164
SSH,138.68.65.189,138.68.65.189,3005,53334,6,1624711421.313,1624711421.929,3113,20217,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.197.177.67,138.68.65.189,7007,38694,6,1624711421.945,1624711422.841,189649,4053,5353482d,SSH-,41,5353482d,SSH-,41
HTTP_NonStandard,138.68.92.16,138.68.65.189,8001,35054,6,1624711422.846,1624711422.850,1524,259,48545450,HTTP,187,47455420,GET.,259
SSH,138.197.177.67,138.68.65.189,7010,46998,6,1624711422.864,1624711423.781,4293,3869,5353482d,SSH-,41,5353482d,SSH-,41
SSH,134.122.80.82,138.68.65.189,7003,39776,6,1624711423.790,1624711424.330,794549,5357,5353482d,SSH-,41,5353482d,SSH-,41
SSL/TLS,138.197.177.67,138.68.65.189,4003,55590,6,1624711424.337,1624711424.352,711,823559,16030101,....,371,16030300,....,1419
SSL/TLS,138.197.177.67,138.68.65.189,4012,44230,6,1624711424.365,1624711424.385,642,562276,16030101,....,371,16030300,....,1419
SSH,138.68.65.189,138.68.65.189,3004,38772,6,1624711424.399,1624711425.080,3357,798773,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.197.177.67,138.68.65.189,7010,47008,6,1624711425.094,1624711425.956,361429,4533,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Control,134.122.80.82,138.68.65.189,2005,55592,6,1624711425.962,1624711425.970,100,303,55534552,USER,16,32323020,220.,28
Unknown_TCP,138.68.65.189,138.68.65.189,6002,52808,6,1624711425.978,1624711425.979,0,20769,00000000,....,0,49443304,ID3.,16384
Unknown_TCP,138.68.65.189,138.68.65.189,6001,42998,6,1624711425.997,1624711425.998,0,1286,00000000,....,0,57652073,We.s,1286
FTP_Control,134.122.80.82,138.68.65.189,2005,55600,6,1624711426.020,1624711426.030,100,306,55534552,USER,16,32323020,220.,28
SSL/TLS,138.197.177.67,138.68.65.189,4004,52518,6,1624711426.044,1624711426.052,631,118545,16030101,....,371,16030300,....,1419
FTP_Control,134.122.80.82,138.68.65.189,2006,57142,6,1624711426.060,1624711426.067,106,306,55534552,USER,16,32323020,220.,28
FTP_Control,134.122.80.82,138.68.65.189,2000,40324,6,1624711426.077,1624711426.082,63,294,55534552,USER,16,32323020,220.,28
SSH,138.68.92.16,138.68.65.189,3012,47634,6,1624711426.099,1624711426.812,3193,207193,5353482d,SSH-,41,5353482d,SSH-,41
HTTP_NonStandard,138.68.92.16,138.68.65.189,8008,46332,6,1624711426.818,1624711426.821,66039,151,48545450,HTTP,188,47455420,GET.,151
FTP_Control,134.122.80.82,138.68.65.189,2009,41718,6,1624711426.830,1624711426.839,120,306,55534552,USER,16,32323020,220.,28
HTTP_NonStandard,138.68.92.16,138.68.65.189,8002,55266,6,1624711426.848,1624711426.855,24221,161,48545450,HTTP,188,47455420,GET.,161
SSH,138.68.92.16,138.68.65.189,3012,47644,6,1624711426.870,1624711427.603,3401,997333,5353482d,SSH-,41,5353482d,SSH-,41
HTTP_NonStandard,138.68.92.16,138.68.65.189,8001,35102,6,1624711427.607,1624711427.610,1244,217,48545450,HTTP,187,47455420,GET.,217
SSH,138.68.65.189,138.68.65.189,3005,53388,6,1624711427.625,1624711428.338,3113,69809,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Control,134.122.80.82,138.68.65.189,2002,47286,6,1624711428.347,1624711428.354,102,304,55534552,USER,16,32323020,220.,28
FTP_Control,134.122.80.82,138.68.65.189,2010,40082,6,1624711428.365,1624711428.372,122,305,55534552,USER,16,32323020,220.,28
SSH,138.68.65.189,138.68.65.189,3000,42366,6,1624711428.402,1624711429.193,3025,2881,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Control,134.122.80.82,138.68.65.189,2007,34728,6,1624711429.207,1624711429.214,100,300,55534552,USER,16,32323020,220.,28
SSH,138.68.65.189,138.68.65.189,3004,38828,6,1624711429.231,1624711429.933,3357,818873,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Data,138.68.65.189,138.68.65.189,6006,43754,6,1624711429.949,1624711429.953,0,368693,00000000,....,0,d0cf11e0,....,16384
SSL/TLS,138.197.177.67,138.68.65.189,4010,39860,6,1624711429.987,1624711429.994,708,3008,16030101,....,371,16030300,....,1419
FTP_Control,134.122.80.82,138.68.65.189,2007,34738,6,1624711430.005,1624711430.013,96,305,55534552,USER,16,32323020,220.,28
No_Payload,138.68.65.189,138.68.65.189,6007,37376,6,1624711430.022,1624711430.022,0,0,00000000,....,0,00000000,....,0
SSH,138.68.65.189,138.68.65.189,3006,51268,6,1624711430.048,1624711430.772,3301,591417,5353482d,SSH-,41,5353482d,SSH-,41
HTTP_NonStandard,138.68.92.16,138.68.65.189,8010,47218,6,1624711430.785,1624711430.792,312164,163,48545450,HTTP,194,47455420,GET.,163
SSH,138.68.65.189,138.68.65.189,3004,38844,6,1624711430.818,1624711431.493,3357,747969,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Control,134.122.80.82,138.68.65.189,2011,40064,6,1624711431.502,1624711431.524,144,307,55534552,USER,16,32323020,220.,28
SSH,134.122.80.82,138.68.65.189,7004,43020,6,1624711431.550,1624711432.090,749169,4913,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.68.92.16,138.68.65.189,3009,36270,6,1624711432.098,1624711432.812,3293,655705,5353482d,SSH-,41,5353482d,SSH-,41
SSL/TLS,138.197.177.67,138.68.65.189,4007,54772,6,1624711432.816,1624711432.824,627,3743,16030101,....,371,16030300,....,1419
SSH,138.197.177.67,138.68.65.189,7007,38790,6,1624711432.836,1624711433.685,3441,3609,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Control,134.122.80.82,138.68.65.189,2008,51610,6,1624711433.689,1624711433.695,82,306,55534552,USER,16,32323020,220.,28
SSH,138.68.65.189,138.68.65.189,3004,38862,6,1624711433.707,1624711434.334,3321,694909,5353482d,SSH-,41,5353482d,SSH-,41
SSL/TLS,138.197.177.67,138.68.65.189,4000,54048,6,1624711434.346,1624711434.354,619,2424,16030101,....,371,16030300,....,1419
Unknown_TCP,138.68.65.189,138.68.65.189,6001,43082,6,1624711434.361,1624711434.362,0,1441,00000000,....,0,54686520,The.,1441
Unknown_TCP,138.68.65.189,138.68.65.189,6002,52896,6,1624711434.390,1624711434.392,0,32225,00000000,....,0,49443304,ID3.,16384
FTP_Control,134.122.80.82,138.68.65.189,2011,40088,6,1624711434.411,1624711434.420,86,306,55534552,USER,16,32323020,220.,28
SSH,134.122.80.82,138.68.65.189,7002,40660,6,1624711434.434,1624711435.013,17157,3709,5353482d,SSH-,41,5353482d,SSH-,41
SSL/TLS,138.197.177.67,138.68.65.189,4009,45974,6,1624711435.019,1624711435.029,646,438616,16030101,....,371,16030300,....,1419
SSH,138.68.92.16,138.68.65.189,3012,47714,6,1624711435.045,1624711435.830,3409,950465,5353482d,SSH-,41,5353482d,SSH-,41
SSL/TLS,138.197.177.67,138.68.65.189,4011,34952,6,1624711435.836,1624711435.848,628,295818,16030101,....,371,16030300,....,1419
FTP_Control,134.122.80.82,138.68.65.189,2007,34786,6,1624711435.858,1624711435.865,100,301,55534552,USER,16,32323020,220.,28
